    "Transfer Type"    "Fidelity"            "Rabi Freq"    "Sweep Rate"         "FreqInit"         "FreqFinal"        "TotalTime"      
    "0"                "0.99882773258698"    "30800"        "986265846.13128"    "4014850785.6"     "4017450785.6"     "1.3181030298265"
    "0"                "0.99882971046946"    "30900"        "993109181.37498"    "3980750647.5"     "3983350647.5"     "1.3090202209188"
    "2"                "0"                   "0"            "0"                  "8027867256"       "8027867256"       "0"              
    "0"                "0.99883564341252"    "31100"        "1000000000"         "4101345765.16"    "4103945765.16"    "1.3"            
    "0"                "0.9988322949634"     "30900"        "993109181.37498"    "4109719937.11"    "4112319937.11"    "1.3090202209188"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99883239561794"    "30900"        "993109181.37498"    "4109719937.11"    "4112319937.11"    "1.3090202209188"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99882948368628"    "30900"        "993109181.37498"    "3980750647.5"     "3983350647.5"     "1.3090202209188"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99882854571752"    "30900"        "993109181.37498"    "4014850785.6"     "4017450785.6"     "1.3090202209188"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
